text,category
"Мен қайда болуым керек, бірақ мен әлі өзімді таппаймын.",other
Мен ойлағандай көпше болар емес.,other
"Менше боларымша, көпше болар емес.",other
"Мен ойлаған боларымша, көпше болар.",other
"Мен ойлаған боларымша, дұрыс болар емес.",other
"Мен ойлаған боларымша, ол көпше болар емес.",other
"Мен де ойлаған боларымша, көпше болар емес.",other
"Мен ойлағандай боларымша, көпше болар емес.",other
"Мен ойлаған боларымша, көпше де болар емес.",other
Сен бірақ жалғыздың болуына қарайсың.,other
Сен бірақ бақытты болуына қарайсың ба?,other
Сен бірақ жалғыздыңа қарайсың ба?,other
Сен де жалғыздың болуына қарайсың ба?,other
Сен бірақ жалғыздың болуына қалайсың ба?,other
Сен бірақ өмірде жалғыздың болуына қарайсың ба?,other
"Сен, бірақ жалғыздың болуына қарайсың ба?",other
Сен бірақ жалғыздың бақытты болуына қарайсың ба?,other
"Бүгін өте жақсы күн, мен көшпеймін.",other
"Бүгін қандай жақсы күн, қой көшпеймін.",other
"Бүгін өте жақсы күн, қой.",other
"Бүгін өте жақсы, қой көшпеймін.",other
"Бүгін өте жақсы күн, қой көшпеймін.",other
"Бүгін өте жақсы туған күн, қой көшпеймін.",other
"Бүгін өте бір жақсы күн, қой көшпеймін.",other
"Бүгін өте жақсы күн, бірақ қой көшпеймін.",other
"Бүгін бізде өте жақсы күн, қой көшпеймін.",other
"Әйгілі кеш, Алматы",other
Әйгілі жастар жылы!,other
"Әйгілі, кеш, жылы!",other
"Ай, қайда, балауым?",other
"Ай, қайда екі?",other
"Ай, менің екі балауым?",other
"Ай, сен қайда екі балауым?",other
"Ай, қайда екен екі балауым?",other
